Source,Target,Weight
云天明,程心,214
云天明,智子,29
云天明,艾AA,10
云天明,关一帆,9
程心,云天明,214
程心,瓦季姆,58
程心,维德,196
程心,艾AA,355
程心,智子,149
程心,罗辑,87
程心,弗雷斯,43
程心,关一帆,183
瓦季姆,程心,58
瓦季姆,维德,22
维德,程心,196
维德,瓦季姆,22
维德,智子,8
维德,罗辑,9
维德,艾AA,12
智子,维德,8
智子,程心,149
智子,艾AA,33
智子,罗辑,40
智子,弗雷斯,10
智子,云天明,29
智子,关一帆,14
罗辑,维德,9
罗辑,艾AA,22
罗辑,程心,87
罗辑,智子,40
艾AA,程心,355
艾AA,罗辑,22
艾AA,维德,12
艾AA,智子,33
艾AA,弗雷斯,16
艾AA,云天明,10
艾AA,关一帆,36
韦斯特,关一帆,24
关一帆,韦斯特,24
关一帆,莫沃维奇,26
关一帆,艾AA,36
关一帆,程心,183
关一帆,云天明,9
关一帆,智子,14
弗雷斯,程心,43
弗雷斯,艾AA,16
弗雷斯,智子,10
莫沃维奇,关一帆,26
